wavelength fwhm
355.2675537 0.006972
355.3179688 0.006324
355.3971680 0.010885
355.4374023 0.006497
355.4587158 0.010789
355.4774170 0.006252
355.5128906 0.011851
355.5584717 0.010621
355.5884766 0.008723
355.6082275 0.010097
355.6664551 0.008811
355.6884033 0.010684
355.7842041 0.008402
355.8112305 0.007445
355.8358643 0.011615
355.8905029 0.006633
356.0644775 0.010329
356.0890869 0.007479
356.1156006 0.009837
356.1300781 0.008442
356.1571289 0.008827
356.3158203 0.006949
356.3921143 0.035384
356.4203857 0.015983
356.4497070 0.008056
356.6593262 0.009993
356.7823242 0.013283
356.7915771 0.006155
356.8371826 0.010777
357.7780273 0.008800
358.2742676 0.009339
361.5350830 0.008132
361.5615723 0.008072
361.6042480 0.008921
361.6624023 0.007016
361.7073242 0.008434
361.7359131 0.008867
361.7855469 0.010867
361.8259277 0.008719
361.8798828 0.010377
361.9315674 0.009096
361.9893555 0.009403
362.0534912 0.008034
362.1162842 0.007337
362.1909668 0.007502
362.2581787 0.006588
362.3438232 0.006289
362.4164307 0.008320
362.5131104 0.000436
362.5901123 0.007273
362.7806396 0.010519
362.9010986 0.007823
362.9859619 0.016795
363.2085693 0.009730
363.2305176 0.007653
363.3368408 0.006819
363.3936768 0.009921
363.4470459 0.009259
363.5518066 0.010034
363.6059326 0.008373
363.7010742 0.009349
363.8173828 0.011205
363.8416504 0.006446
363.8701660 0.009293
363.9719727 0.007379
364.0508057 0.007540
364.1270996 0.010479
364.1531982 0.008667
364.1852783 0.008696
364.2589355 0.007583
364.3275391 0.011895
364.5497559 0.006883
364.5632812 0.009203
364.9052246 0.006287
364.9333984 0.007558
364.9670898 0.006457
366.4797119 0.009904
366.8099854 0.007012
366.9813721 0.009385
367.3405273 0.006644
367.6075439 0.012761
369.7850586 0.007307
369.8104492 0.007224
369.8498291 0.012351
369.9080811 0.005800
369.9614746 0.013999
369.9812256 0.008351
370.0409668 0.010038
370.0689453 0.008332
370.1367676 0.008322
370.1727783 0.010193
370.2458008 0.007769
370.2932617 0.007013
370.3725342 0.009831
370.4284424 0.012171
370.5152832 0.008714
370.5810059 0.005563
370.6727295 0.008702
370.7495117 0.009923
370.8470215 0.009446
370.9337402 0.007826
371.0380371 0.007101
371.1167236 0.008073
371.1347412 0.008217
371.4679443 0.010212
371.7041748 0.008323
371.9601318 0.006589
372.2327393 0.008935
372.8262207 0.010882
373.1359375 0.010610
373.1643799 0.009766
373.3150635 0.007641
373.3580811 0.007580
373.4018311 0.010236
373.4212158 0.023125
373.4536377 0.011223
373.4811279 0.009215
373.5051270 0.007347
373.5710938 0.007264
373.6367432 0.006374
373.6984375 0.015566
373.7623291 0.010159
373.7804932 0.014413
373.8087891 0.008557
373.8523682 0.015377
373.8825195 0.010355
373.9098389 0.019422
373.9310303 0.011774
373.9613281 0.018739
373.9777100 0.008633
373.9886475 0.004843
374.1070801 0.011279
374.1628906 0.007539
374.3527344 0.017846
374.3796875 0.010755
374.4058838 0.011257
374.6500977 0.012549
374.6779541 0.008830
374.7068848 0.007468
375.0347168 0.013565
375.0661865 0.006831
375.4195557 0.007245
375.4495361 0.008059
375.4834717 0.010048
375.7794434 0.008266
375.8221680 0.009349
375.8943115 0.008992
375.9093262 0.004973
375.9233154 0.009157
375.9577881 0.008249
376.4253174 0.008727
377.5217041 0.005528
377.7587646 0.006716
377.8167725 0.012632
378.0536621 0.005382
378.0927490 0.009456
378.1496826 0.009121
378.3906982 0.010275
378.5459229 0.009165
378.6961914 0.012257
379.0071533 0.007797
379.0701172 0.008299
379.1259521 0.013535
379.1963623 0.015308
379.4464844 0.006270
379.4734131 0.009004
379.5065674 0.008857
379.5361084 0.013668
379.6420410 0.010390
379.7462646 0.007702
379.9055664 0.009166
374.7069092 0.010690
375.0096680 0.008854
375.0343750 0.008728
375.0651855 0.016169
375.4214111 0.003560
375.4830811 0.010383
375.8229736 0.009256
375.8943115 0.007889
375.9581787 0.008859
376.4270264 0.016675
376.4943604 0.009079
376.5929199 0.008870
377.0201172 0.009824
377.0395996 0.006869
377.0560547 0.010000
377.2315918 0.007014
377.2966309 0.007545
377.3428467 0.012035
377.4939697 0.034643
377.5232910 0.014439
377.5482422 0.007337
377.7616211 0.010372
377.8187988 0.010687
378.0934082 0.007028
378.1213867 0.013531
378.1503906 0.011565
378.4879639 0.030294
378.5463379 0.006946
379.0072021 0.011604
379.1257812 0.007399
379.1963867 0.018466
379.2546875 0.004254
379.2851562 0.008647
379.4751465 0.008340
379.5082031 0.014293
379.5374756 0.014195
379.6432861 0.010077
379.7340576 0.002967
379.7473877 0.007610
379.7947998 0.008581
379.9087891 0.010344
379.9643799 0.007341
380.0818848 0.009019
380.1497070 0.006847
380.9482422 0.010592
381.2692139 0.008363
381.3425537 0.009730
381.4061523 0.011634
381.4835938 0.016093
381.5439941 0.010068
381.5809570 0.031448
381.6458252 0.008018
381.6958496 0.020561
381.7759521 0.002146
381.8249268 0.006991
381.9002686 0.007602
381.9687256 0.014733
382.0513428 0.006987
382.0802734 0.012210
382.1369873 0.008576
382.1662354 0.006689
382.2060303 0.008186
